part.str,Type,k
EG 3,RIP,0.00249622
EG 4,RIP,0.002550405
EP 1,RIP,0.01456063
EP 2,RIP,0.011761703
EP 4,RIP,0.012334745
EQ 1,RIP,0.002683424
EQ 2,RIP,0.004212544
EQ 3,RIP,0.003337024
EQ 4,RIP,0.003259213
FB 1,RIP,0.004598077
FB 2,RIP,0.013036251
FB 3,RIP,0.002581105
FB 4,RIP,0.002770503
FC 1,RIP,0.002370479
FC 2,RIP,0.002185956
FC 3,RIP,0.010180901
FG 1,RIP,0.013603102
FG 2,RIP,0.013528888
FG 3,RIP,0.024083669
FG 4,RIP,0.019370425
FM 1,RIP,0.001756861
FM 2,RIP,0.001826323
FM 3,RIP,0.001608309
FM 4,RIP,0.001810457
FRGU 1,RIP,0.002649364
FRGU 2,RIP,0.002192749
FRGU 3,RIP,0.002622696
FRGU 4,RIP,0.003612494
GESI 1,RIP,0.032747155
GESI 2,RIP,0.018471845
GESI 3,RIP,0.061783725
GESI 4,RIP,0.050350134
GR 1,RIP,0.002022436
GR 2,RIP,0.005762557
GR 3,RIP,0.002119865
GS 1,RIP,0.004473679
GS 2,RIP,0.004532029
GS 3,RIP,0.006070339
GS 4,RIP,0.008072442
HL 1,RIP,0.015625245
HL 2,RIP,0.003276053
HL 3,RIP,0.004290073
HL 4,RIP,0.032071266
HPG 1,RIP,0.021082095
HPG 2,RIP,0.032693129
HPG 3,RIP,0.063331967
HPG 4,RIP,0.00394049
IP 1,RIP,0.006279735
IP 2,RIP,0.002762189
IP 3,RIP,0.002551108
IP 4,RIP,0.003834066
JA 1,RIP,0.010822512
JA 2,RIP,0.00824298
JA 3,RIP,0.004294777
JA 4,RIP,0.002588925
JARU 1,RIP,0.003639865
JARU 2,RIP,0.003756746
JARU 3,RIP,0.003022555
JARU 4,RIP,0.002757286
JC 1,RIP,0.02045315
JC 2,RIP,0.007116796
JC 3,RIP,0.01895852
JC 4,RIP,0.024904111
JESM 1,RIP,0.00147206
JESM 2,RIP,0.001593024
JESM 3,RIP,0.002005407
JESM 4,RIP,0.001430505
JESM 11,RIP,0.003138593
JESM 12,RIP,0.002785211
JESM 13,RIP,0.002458546
JESM 14,RIP,0.003182917
JFGJ 1,RIP,0.025651755
JFGJ 2,RIP,0.004359779
JFGJ 3,RIP,0.00880722
JFGJ 4,RIP,0.015289359
JH 1,RIP,0.003872741
JH 2,RIP,0.004490982
JH 3,RIP,0.002191869
JH 4,RIP,0.004872033
JN 1,RIP,0.013891931
JN 2,RIP,0.014252431
JN 3,RIP,0.015252102
JN 4,RIP,0.021207487
JOCU 1,RIP,0.008115864
JOCU 2,RIP,0.008511273
JOCU 3,RIP,0.008552563
JOCU 4,RIP,0.010298611
JOHU 1,RIP,0.012256311
JOHU 2,RIP,0.011866996
JOHU 3,RIP,0.013701018
JOHU 4,RIP,0.016648237
JORI 1,RIP,0.007710586
JORI 2,RIP,0.001823061
JORI 3,RIP,0.003302903
JORI 4,RIP,0.001821499
JPM 1,RIP,0.002767426
JPM 2,RIP,0.004898322
JPM 3,RIP,0.025837362
JPM 4,RIP,0.006419895
JR 1,RIP,0.021855111
JR 2,RIP,0.015555479
JR 3,RIP,0.005813923
JR 4,RIP,0.006707612
JS 1,RIP,0.011470528
JS 2,RIP,0.016788118
JS 3,RIP,0.01125537
JS 4,RIP,0.013614192
JT 1,RIP,0.035485395
JT 2,RIP,0.029111515
JT 3,RIP,0.029832064
JT 4,RIP,0.033532592
JUCO 1,RIP,0.003843008
JUCO 2,RIP,0.002614188
JUCO 3,RIP,0.002411538
JUCO 4,RIP,0.002576595
1-Jun,RIP,0.001863847
2-Jun,RIP,0.005240829
3-Jun,RIP,0.005766822
4-Jun,RIP,0.002385857
JW 1,RIP,0.003434897
JW 2,RIP,0.010596993
JW 3,RIP,0.002730594
JW 4,RIP,0.002616381
JZ 1,RIP,0.004464728
JZ 2,RIP,0.004629685
JZ 3,RIP,0.003904905
JZ 4,RIP,0.012704662
KC 1,RIP,0.003307798
KC 2,RIP,0.002884484
KC 3,RIP,0.005512032
KF 1,RIP,0.003819486
KF 2,RIP,0.002089875
KF 3,RIP,0.00219669
KF 4,RIP,0.002243274
KK 1,RIP,0.001750796
KK 2,RIP,0.001569096
KK 3,RIP,0.001878621
KK 4,RIP,0.001754305
KM 1,RIP,0.001806014
KM 2,RIP,0.003723043
KM 3,RIP,0.002704327
KM 4,RIP,0.001952729
KRS 1,RIP,0.122685893
KRS 2,RIP,0.0647684
KRS 3,RIP,0.068597243
KRS 4,RIP,0.106866682
LB 1,RIP,0.018982232
LB 2,RIP,0.002352398
LB 3,RIP,0.005762534
LB 4,RIP,0.002125672
LEB 1,RIP,0.00303493
LEB 2,RIP,0.002960543
LEB 3,RIP,0.003250487
LEB 4,RIP,0.002914059
LEVO 1,RIP,0.001617989
LEVO 2,RIP,0.001358613
LEVO 3,RIP,0.001197593
LEVO 4,RIP,0.001336492
LGL 1,RIP,0.004602756
