part.str,Type,k
PEMC 4,STR,0.092025892
PF 1,STR,0.04998197
PF 2,STR,0.051816296
PF 3,STR,0.013511021
PF 4,STR,0.008069626
PF 5,STR,0.020423997
PF 6,STR,0.018755352
PF 7,STR,0.001831618
PF 8,STR,0.020862952
PF 9,STR,0.003491874
PF 10,STR,0.024499347
PF 11,STR,0.007613852
PF 12,STR,0.002799368
PILI 1,STR,0.162388811
PILI 2,STR,0.111792674
PILI 3,STR,0.062619187
PILI 4,STR,0.006407958
PL 1,STR,0.038612055
PL 3,STR,0.101224676
PL 4,STR,0.112310587
PW 1,STR,0.006742109
PW 2,STR,0.035432139
PW 3,STR,0.023805356
PW 4,STR,0.009974562
RALB 1,STR,0.052553199
RALB 2,STR,0.013622015
RALB 3,STR,0.054671134
RALB 4,STR,0.057015081
RIPA 1,STR,0.002833788
RIPA 2,STR,0.015668234
RIPA 3,STR,0.002439727
RIPA 4,STR,0.018897264
ROMO 1,STR,0.004870396
ROMO 2,STR,0.015687312
ROMO 3,STR,0.006549774
ROMO 4,STR,0.021671648
RS 1,STR,0.006821348
RS 2,STR,0.004930238
RS 3,STR,0.006947716
RS 4,STR,0.004662205
SDG 1,STR,0.069432616
SDG 2,STR,0.013595308
SDG 3,STR,0.089190492
SDG 4,STR,0.067122498
SE 1,STR,0.002255531
SE 2,STR,0.001974426
SE 3,STR,0.001850614
SE 4,STR,0.002378806
SH 1,STR,0.00231405
SH 2,STR,0.002642141
SI 1,STR,0.05371223
SI 2,STR,0.003511452
SI 3,STR,0.005733987
SI 4,STR,0.069718292
SK 1,STR,0.00617017
SK 2,STR,0.003615682
SK 3,STR,0.051466601
SK 4,STR,0.031506733
SL 1,STR,0.002111723
SL 2,STR,0.002190982
SL 3,STR,0.001795992
SL 4,STR,0.001901395
SM 1,STR,0.00345377
ST 1,STR,0.02746748
ST 2,STR,0.073178014
ST 3,STR,0.001750624
ST 4,STR,0.051226848
SU 1,STR,0.003909058
SU 2,STR,0.00220639
SU 3,STR,0.001968239
SU 4,STR,0.021950121
SV 1,STR,0.034215174
SV 2,STR,0.021682881
SV 3,STR,0.033195561
SV 4,STR,0.067519614
SW 1,STR,0.02008292
SW 2,STR,0.023102732
SW 3,STR,0.045048897
SW 4,STR,0.033514673
TAHI 1,STR,0.014778497
TAHI 2,STR,0.014170675
TAHI 3,STR,0.038525703
TAHI 4,STR,0.016472283
TF 1,STR,0.113096579
TF 2,STR,0.03858162
TF 3,STR,0.039025952
TF 4,STR,0.132893096
TI 1,STR,0.046597749
TI 2,STR,0.05181307
TI 3,STR,0.078115557
TI 4,STR,0.005203578
TIMO 1,STR,0.014532998
TIMO 2,STR,0.013259533
TIMO 3,STR,0.031314636
TIMO 4,STR,0.009727176
TM 1,STR,0.046174124
TM 2,STR,0.07860262
TM 3,STR,0.08145504
TM 4,STR,0.072158583
TR 1,STR,0.063789299
TR 2,STR,0.014375483
TR 3,STR,0.008167789
TR 4,STR,0.009127787
VCP 1,STR,0.095371842
VCP 2,STR,0.101578147
VCP 3,STR,0.08778674
VCP 4,STR,0.103826446
VDV 1,STR,0.027779824
VDV 2,STR,0.009290408
VDV 3,STR,0.006967896
VDV 4,STR,0.005887806
VF 1,STR,0.069680799
VF 2,STR,0.003814881
VF 3,STR,0.006453892
VF 4,STR,0.021337863
VG 1,STR,0.035563949
VG 2,STR,0.005262963
VG 3,STR,0.047347438
VG 4,STR,0.007555179
VNL 2,STR,0.10735681
VNL 3,STR,0.11074638
VNL 4,STR,0.114016257
WC 1,STR,0.05900023
WC 2,STR,0.038194029
WC 3,STR,0.002786543
WC 4,STR,0.002122856
YM 1,STR,0.006307118
YM 2,STR,0.012368963
YM 3,STR,0.017683864
YM 4,STR,0.01473435
YZ 1,STR,0.007919933
YZ 2,STR,0.066835902
YZ 3,STR,0.048325329
YZ 4,STR,0.036416702
